4850
0	86	0
2193	2288	87
7434	7521	183
11342	11745	271
15021	15074	675
0	86	0
2193	2288	87
7434	7521	183
11342	11526	271
11551	11745	456
15021	15074	651
0	101	0
5247	5334	102
9155	9558	190
12834	13037	594
0	597	0
3992	4099	598
7400	7481	706
9932	10061	788
15283	15389	918
16378	16563	1025
0	112	0
6915	6996	113
9447	9576	195
14798	14904	325
15893	16260	432
0	145	0
31980	32072	146
34788	34896	239
36268	36474	348
51163	51255	555
55203	55375	648
64112	64213	821
75458	75638	923
77816	79537	1104
90475	90567	2826
0	274	0
324	582	275
599	736	534
0	1901	0
7053	7145	1902
9861	9969	1995
11341	11547	2104
26236	26328	2311
30276	30448	2404
50531	50711	2577
52889	54610	2758
65548	65603	4480
0	1263	0
1852	1900	1264
7052	7144	1313
9860	9968	1406
11340	11546	1515
30275	30447	1722
39184	39285	1895
50530	50710	1997
52888	54609	2178
65547	65624	3900
0	1899	0
7051	7143	1900
9859	9967	1993
11339	11545	2102
26234	26326	2309
30274	30446	2402
39183	39284	2575
50529	50709	2677
52887	54608	2858
65174	65569	4580
0	718	0
769	1899	719
7051	7143	1850
9859	9967	1943
11339	11545	2052
26234	26326	2259
30274	30446	2352
39183	39284	2525
50529	50709	2627
52887	54608	2808
65546	65630	4530
0	48	0
5200	5292	49
8008	8116	142
9488	9694	251
24383	24475	458
28423	28595	551
37332	37433	724
48678	48858	826
51036	51471	1007
51652	52757	1443
63695	63787	2549
0	4592	0
5600	5780	4593
7958	9679	4774
20617	20709	6496
0	16	0
476	656	17
2834	4555	198
15493	15585	1920
0	139	0
786	1187	140
1372	1668	542
2346	2406	839
2619	2876	900
4754	4814	1158
5317	5447	1219
5569	5738	1350
5854	6070	1520
7414	8209	1737
8611	8728	2533
8816	9455	2651
0	948	0
1133	1429	949
2107	2167	1246
2380	2637	1307
4515	4575	1565
5078	5208	1626
5330	5499	1757
5615	5831	1927
7175	7970	2144
8372	8489	2940
8577	8597	3058
10162	12111	3079
0	16	0
978	1135	17
1223	1919	175
2628	2819	872
2936	3157	1064
3385	3579	1286
3738	3876	1481
0	352	0
487	678	353
1289	1353	545
3574	4839	610
0	995	0
2348	2461	996
3259	3477	1110
3792	3917	1329
4418	4494	1455
5855	5938	1532
13150	13323	1616
14692	14760	1790
16814	16916	1859
17657	17771	1962
18964	19100	2077
19558	19655	2214
21691	21780	2312
22066	22167	2402
23057	23191	2504
25168	25336	2639
28181	28208	2808
0	995	0
2348	2461	996
3259	3477	1110
3792	3917	1329
4418	4494	1455
5855	5938	1532
13150	13323	1616
14692	14760	1790
15765	15794	1859
16814	16916	1889
17657	17771	1992
18964	19100	2107
19558	19655	2244
21691	21780	2342
22066	22167	2432
25168	25336	2534
28181	28218	2703
0	994	0
2347	2460	995
3258	3476	1109
3791	3916	1328
4417	4493	1454
5854	5937	1531
13149	13322	1615
14691	14759	1789
15764	15793	1858
16813	16915	1888
17656	17770	1991
18963	19099	2106
19557	19654	2243
21690	21779	2341
22065	22166	2431
23056	23195	2533
25167	25335	2673
28180	28279	2842
0	300	0
1653	2782	301
3097	3222	1431
3723	3799	1557
5160	5243	1634
12455	12628	1718
13997	14065	1892
15070	15099	1961
16119	16221	1991
16962	17076	2094
18269	18405	2209
18863	18960	2346
20996	21085	2444
21371	21472	2534
22362	22501	2636
24473	24641	2776
27486	27513	2945
0	180	0
1533	1646	181
2444	2662	295
2977	3102	514
3603	3679	640
5040	5123	717
12335	12508	801
13877	13945	975
14950	14979	1044
15999	16101	1074
16842	16956	1177
18149	18285	1292
18743	18840	1429
20876	20965	1527
21251	21352	1617
22242	22381	1719
24353	24521	1859
24931	24981	2028
0	107	0
5473	5679	108
8683	8841	315
10743	10853	474
0	414	0
4644	4750	415
8012	8142	522
8742	8825	653
9839	9972	737
10062	10211	871
10709	10818	1021
12344	12497	1131
15126	15281	1285
19526	19634	1441
19903	20091	1550
21166	22974	1739
0	291	0
3277	3383	292
6645	6775	399
7375	7458	530
8472	8605	614
8695	8844	748
9342	9451	898
10977	11130	1008
13759	13914	1162
18159	18267	1318
18536	18724	1427
19799	21607	1616
0	291	0
3277	3383	292
6645	6775	399
7375	7458	530
8472	8605	614
8695	8844	748
9342	9451	898
10977	11130	1008
18159	18267	1162
18536	18724	1271
19799	21607	1460
0	360	0
2921	3027	361
6289	6419	468
7025	7102	599
8116	8249	677
8339	8488	811
8986	9095	961
10621	10774	1071
13403	13558	1225
17803	17911	1381
18180	18368	1490
19443	19628	1679
0	2413	0
2650	2706	2414
0	123	0
8227	8279	124
8376	8422	177
14553	14691	224
19560	19684	363
22021	22143	488
23322	23373	611
24521	24591	663
25782	25890	734
29811	29892	843
30773	30864	925
31710	31777	1017
32008	32129	1085
32793	32875	1207
38680	38758	1290
40469	40546	1369
47852	47949	1447
49260	49349	1545
52988	53109	1635
54394	54527	1757
55027	55124	1891
56668	56789	1989
63469	63566	2111
64910	65012	2209
75120	75218	2312
141407	141463	2411
0	338	0
2862	2936	339
4821	5377	414
6440	6524	971
8446	8642	1056
10743	10883	1253
11483	11576	1394
12458	12625	1488
12835	13011	1656
13696	13869	1833
14297	14424	2007
14503	14655	2135
15156	15374	2288
16749	16856	2507
17586	17745	2615
19040	19158	2775
19603	19837	2894
21014	21241	3129
21683	21954	3357
22410	22507	3629
23151	23290	3727
25531	27437	3867
0	327	0
2851	2925	328
4810	5366	403
6429	6513	960
8435	8631	1045
10732	10872	1242
11472	11565	1383
12447	12614	1477
12824	13000	1645
13685	13858	1822
14286	14413	1996
14492	14644	2124
15145	15363	2277
16738	16845	2496
17575	17734	2604
19029	19147	2764
19592	19826	2883
21003	21230	3118
21672	21943	3346
23140	23279	3618
25520	27146	3758
0	74	0
1959	2515	75
3578	3662	632
5584	5780	717
7881	8021	914
8621	8714	1055
9596	9763	1149
9973	10149	1317
10834	11007	1494
11435	11562	1668
11641	11793	1796
12294	12512	1949
13887	13994	2168
14724	14883	2276
16178	16296	2436
16741	16975	2555
18152	18379	2790
18821	19092	3018
19548	19645	3290
20289	20428	3388
22669	25808	3528
0	2572	0
3263	3430	2573
4271	4410	2741
4742	4995	2881
0	95	0
0	1451	0
3484	3521	1452
10327	10601	1490
11401	11500	1765
40343	40425	1865
46266	46452	1948
69785	69859	2135
70359	70442	2210
73151	73198	2294
85970	86069	2342
86699	86805	2442
96020	96191	2549
139240	139527	2721
0	64	0
2097	2134	65
2709	2916	103
8940	9214	311
10014	10113	586
38956	39038	686
44879	45065	769
68398	68472	956
68972	69022	1031
71764	71811	1082
84583	84682	1130
85312	85418	1230
94633	94804	1337
137853	138137	1509
0	80	0
0	185	0
5481	5525	186
5547	5679	231
6580	6637	364
6692	6888	422
7569	9136	619
0	185	0
5547	5679	186
6580	6685	319
6746	6888	425
7569	9136	568
0	401	0
11809	11961	402
12558	12693	555
14634	14724	691
17869	17948	782
18239	18315	862
19197	19383	939
19483	19638	1126
20176	20241	1282
20441	20509	1348
21038	21212	1417
21793	22166	1592
0	187	0
4701	7080	188
9801	9818	2568
10885	10969	2586
11064	11198	2671
11595	11747	2806
12344	12479	2959
14421	14510	3095
17655	17734	3185
18025	18101	3265
18983	19169	3342
19269	19424	3529
19962	20027	3685
20227	20295	3751
20824	20998	3820
21579	21866	3995
23410	23489	4283
24074	25634	4363
0	139	0
401	556	140
882	1020	296
2572	2743	435
3818	3991	607
7661	7798	781
9227	9301	919
10211	10284	994
0	191	0
2185	3132	192
3834	4013	1140
4310	4401	1320
4983	5177	1412
6153	6271	1607
6651	6724	1726
6887	6952	1800
18092	18178	1866
20656	20759	1953
24220	24418	2057
26260	26403	2256
27726	27991	2400
28333	28427	2666
29014	29159	2761
29860	29880	2907
32008	32213	2928
32327	32388	3134
35350	35468	3196
37975	38044	3315
43118	43380	3385
44223	44317	3648
48295	48339	3743
51219	51386	3788
52709	52820	3956
57171	57328	4068
72697	72857	4226
75908	76071	4387
77540	77655	4551
81603	81798	4667
82549	82611	4863
0	191	0
2185	3132	192
3834	4013	1140
4310	4401	1320
4983	5177	1412
6153	6271	1607
6651	6724	1726
6887	6952	1800
18092	18178	1866
20656	20759	1953
24220	24418	2057
26260	26403	2256
27726	27991	2400
28333	28427	2666
29014	29159	2761
29860	29880	2907
32008	32213	2928
32327	32388	3134
35350	35468	3196
37975	38044	3315
43118	43380	3385
44223	44317	3648
48295	48339	3743
51219	51386	3788
52709	52820	3956
57171	57328	4068
72697	72857	4226
75908	76071	4387
77540	77655	4551
81603	81798	4667
116349	116537	4863
0	191	0
2185	3132	192
3834	4013	1140
4310	4401	1320
4983	5177	1412
6153	6271	1607
6651	6724	1726
6887	6952	1800
18092	18178	1866
20656	20759	1953
24220	24418	2057
26260	26403	2256
27726	27991	2400
28333	28427	2666
29014	29159	2761
32008	32213	2907
32327	32388	3113
35350	35468	3175
37975	38044	3294
43118	43380	3364
44223	44317	3627
51219	51386	3722
52709	52820	3890
57171	57328	4002
72697	72857	4160
75908	76071	4321
77540	77655	4485
81603	81798	4601
116349	116537	4797
0	1115	0
1817	1996	1116
2293	2384	1296
2966	3160	1388
4136	4254	1583
4634	4707	1702
4870	4935	1776
16075	16161	1842
18639	18742	1929
22203	22401	2033
24243	24386	2232
25709	25974	2376
26316	26410	2642
26997	27142	2737
27843	27863	2883
29991	30196	2904
30310	30371	3110
33333	33451	3172
35958	36027	3291
41101	41363	3361
42206	42300	3624
49202	49369	3719
50692	50803	3887
55154	55311	3999
70680	70840	4157
73891	74054	4318
75523	75638	4482
79586	79781	4598
113088	113831	4794
0	75	0
0	843	0
19613	19742	844
24526	24707	974
26270	26499	1156
28396	28521	1386
30097	30311	1512
30786	30921	1727
31929	32060	1863
37449	38272	1995
0	242	0
9679	9808	243
14592	14773	373
16336	16565	555
18462	18587	785
20163	20377	911
20852	20987	1126
21995	22126	1262
27515	28214	1394
0	1769	0
6553	6734	1770
8297	8526	1952
10423	10548	2182
12124	12338	2308
12813	12948	2523
13956	14087	2659
19476	20175	2791
0	73	0
1150	1279	74
6063	6244	204
7807	8036	386
9933	10058	616
11634	11848	742
12323	12458	957
13466	13597	1093
18986	19871	1225
0	414	0
1344	1525	415
3088	3317	597
5214	5339	827
6915	7129	953
7604	7739	1168
8747	8878	1304
14267	14963	1436
0	202	0
244	388	203
414	882	348
1123	1339	817
1375	1493	1034
1511	1584	1153
0	4502	0
5320	5420	4503
6872	6950	4604
7398	7553	4683
10368	10577	4839
14042	14162	5049
0	4940	0
0	1117	0
