1	962	2370	1	1	0	4	0	31
1	2466	3117	1	1	0	9	0	43
1	5761	10905	2	2	1	2	0	25
1	7063	12538	1	1	0	0	1	35
1	8987	12538	1	1	0	1	1	34
1	10994	14813	2	2	1	5	0	46
1	12470	189866	1	1	0	1	2	33
1	15218	18492	2	2	1	18	0	50
1	16522	48373	2	2	0	1	0	13
1	18697	22045	2	2	0	12	0	48
1	19644	48265	1	1	0	1	0	33
1	23966	27359	1	1	1	92	0	49
1	27468	30767	1	1	1	87	0	50
1	29055	72965	1	1	0	0	1	40
1	30850	33299	1	1	1	100	0	50
1	33430	38650	1	1	1	108	0	49
1	38758	39745	1	1	1	58	1	46
1	73007	102787	2	4	0	1	0	26
1	109258	118345	2	2	0	0	1	47
1	122276	122997	2	2	0	2	1	39
1	123047	128197	2	2	1	11	2	36
1	128291	131005	2	2	1	22	0	46
1	131115	132485	2	2	1	21	0	50
1	132693	147380	2	2	1	9	0	49
1	132693	151420	2	2	1	1	0	6
1	147474	151420	2	2	1	14	0	47
1	151594	160329	2	2	1	7	0	39
1	160432	171675	2	2	1	11	0	50
1	167460	224333	1	1	0	1	1	38
1	171857	174033	2	2	1	3	0	32
1	173107	174033	2	2	0	1	0	19
1	174470	174649	0	0	1	1	1	49
1	175756	186692	2	2	1	3	0	38
1	200180	200363	1	1	1	2	0	36
1	200661	201337	1	1	1	1	0	37
1	201399	201610	1	1	1	2	0	45
1	201869	203745	1	1	1	6	0	49
1	203807	204308	1	1	1	5	0	38
1	204440	204560	1	1	1	7	0	49
1	204731	204845	1	1	1	5	0	40
1	205063	206405	1	1	1	3	0	45
1	207202	207602	1	1	1	5	0	49
1	207721	207807	1	1	1	3	0	49
1	214741	229822	2	2	0	0	1	31
1	214741	261505	2	2	0	0	1	31
1	224334	243259	1	1	0	0	1	12
1	224421	266776	2	2	0	0	1	29
1	229823	261505	2	2	0	1	0	38
1	393246	393362	1	1	0	1	0	25
1	394971	395957	1	1	0	2	0	50
1	416481	449119	1	1	0	1	0	30
1	484912	527536	1	1	0	0	1	34
1	484981	525583	1	1	0	0	1	41
1	485068	542809	2	2	0	0	2	36
1	513674	515025	2	2	1	15	0	48
1	515140	515936	2	2	1	10	0	49
1	516156	516469	2	2	1	3	0	49
1	516591	517095	2	2	0	1	0	47
1	516596	517095	2	2	1	9	0	44
1	517173	518532	2	2	1	6	0	50
1	518617	525827	2	2	1	1	0	50
1	526002	527369	2	2	1	8	0	47
1	527439	528442	2	2	1	13	0	30
1	528473	529491	2	2	1	12	0	30
1	529595	530334	2	2	1	8	0	49
1	530450	531641	2	4	1	8	0	32
1	531779	532235	2	2	1	11	0	43
1	532334	534368	2	2	1	4	0	37
1	534459	534743	2	2	1	5	0	48
1	534465	534743	2	2	0	4	0	45
1	534846	535734	2	2	1	5	0	49
1	534846	535745	2	2	0	1	0	33
1	534846	537845	2	2	1	1	0	21
1	535870	537845	2	2	1	10	0	37
1	535875	537845	2	2	1	3	1	43
1	538015	538423	2	2	1	1	1	26
1	538015	540858	2	2	1	1	1	20
1	545994	547619	1	1	0	0	1	43
1	552197	585162	2	2	0	0	1	46
1	553081	555360	2	2	0	1	0	44
1	557014	559998	1	1	1	8	0	50
1	560106	563366	1	1	1	10	0	46
1	560699	561947	2	2	0	0	1	48
1	561948	579656	2	2	0	0	1	44
1	563498	564096	1	1	1	15	0	48
1	563498	564102	1	1	1	4	0	45
1	564181	565193	1	1	1	11	0	49
1	565328	565416	1	1	1	30	0	48
1	565567	566063	1	1	1	11	0	47
1	566174	567698	1	1	1	14	0	49
1	567853	570480	1	1	1	22	0	50
1	570637	574880	1	1	1	5	0	48
1	574990	575257	1	1	1	8	0	45
1	575447	576520	1	1	1	6	0	46
1	578139	578374	2	2	1	4	0	26
1	578667	586691	1	1	0	1	0	27
1	593157	598024	1	1	1	1	0	21
1	607952	653006	2	2	0	1	0	37
1	626975	627724	1	1	0	1	0	19
